500	3	100
1	0.03	0.01
1	2	0	3	5	6	B
2	0	0	3	2	4	D
3	0	0	2	4	6	D
4	1	0	2	4	6	D
5	0	1	1	6	2	D
6	1	1	3	5	2	B
7	1	2	4	3	5	B
8	1	2	5	6	4	D
9	1	3	5	6	2	B
10	1	4	4	2	4	B
11	2	4	5	3	4	A
12	0	5	2	2	3	D
13	2	5	4	3	4	B
14	1	5	4	3	5	A
15	0	5	1	6	6	B
16	2	5	5	4	2	B
17	2	6	3	2	5	D
18	0	6	4	6	6	B
19	1	6	2	4	3	D
20	1	6	4	4	6	B
21	1	7	3	4	4	B
22	1	7	4	3	2	D
23	0	7	4	2	6	C
24	2	7	3	4	5	D
25	2	8	4	4	7	A
26	2	9	2	3	3	C
27	0	9	3	5	5	B
28	0	10	4	2	7	D
29	0	10	2	4	3	C
30	1	11	3	6	7	C
31	2	12	1	6	4	C
32	2	13	3	5	5	C
33	2	14	5	5	6	C
34	2	15	1	2	3	C
35	0	15	3	2	3	C
36	1	16	4	2	5	A
37	2	16	3	3	2	A
38	1	16	3	2	7	B
39	0	16	4	3	5	A
40	0	16	5	6	6	D
41	1	17	1	3	7	A
42	2	17	3	6	2	A
43	2	17	4	5	3	B
44	2	17	4	4	4	D
45	0	17	3	6	5	C
46	2	18	3	2	3	B
47	0	18	5	5	2	D
48	2	19	2	2	6	C
49	0	19	1	5	6	C
50	2	19	3	5	5	A
51	1	19	1	2	7	B
52	0	19	2	6	5	D
53	1	20	5	5	7	D
54	1	21	2	5	7	D
55	1	21	4	3	6	D
56	2	22	2	6	2	C
57	2	22	1	4	3	B
58	2	22	3	5	5	B
59	2	22	4	4	4	B
60	0	22	4	2	2	A
61	1	22	4	5	7	B
62	2	22	4	2	7	A
63	2	23	4	4	5	D
64	1	23	1	5	4	B
65	0	24	3	4	3	C
66	2	24	4	2	2	B
67	1	25	2	2	2	D
68	1	25	5	3	2	A
69	2	25	1	5	3	A
70	2	25	5	6	6	B
71	0	25	2	3	3	B
72	2	26	3	6	3	A
73	1	26	4	4	7	C
74	0	27	4	2	2	A
75	2	28	4	2	3	A
76	1	28	2	2	7	D
77	0	28	1	2	4	C
78	1	28	4	3	7	D
79	0	28	2	3	2	A
80	2	29	2	4	7	A
81	2	29	5	4	5	C
82	2	30	3	6	4	A
83	1	31	5	5	5	B
84	0	32	2	6	4	C
85	1	33	5	4	5	D
86	2	34	3	2	2	D
87	2	35	4	4	3	D
88	0	35	1	4	2	B
89	1	36	5	6	6	A
90	0	37	2	2	5	A
91	0	38	3	6	2	D
92	0	39	4	3	4	C
93	2	39	5	5	6	C
94	0	40	5	4	3	C
95	1	40	3	3	6	C
96	1	41	3	6	2	B
97	2	42	2	2	7	D
98	0	42	3	4	7	B
99	1	42	1	6	7	D
100	2	42	4	6	4	B
-1
