500	3	100
1	0.03	0.01
1	0	0	36	8	6	C
2	4	1	14	4	3	A
3	1	2	5	22	6	C
4	0	2	6	6	3	C
5	3	2	45	35	7	C
6	1	2	5	34	4	B
7	0	3	41	48	7	C
8	1	3	8	8	3	B
9	4	4	48	15	5	B
10	0	4	5	15	4	C
11	0	5	46	12	7	D
12	0	5	40	46	6	B
13	0	5	23	7	6	A
14	3	6	24	15	4	C
15	1	6	2	46	5	A
16	3	6	24	3	5	B
17	3	6	30	50	2	A
18	4	6	8	49	3	C
19	0	7	29	2	5	C
20	0	7	36	22	7	A
21	3	7	36	31	7	B
22	4	7	1	16	4	D
23	2	7	12	22	5	A
24	0	8	34	36	7	C
25	0	9	16	12	5	A
26	3	10	28	29	7	C
27	4	10	38	8	3	D
28	2	11	21	34	7	A
29	4	12	31	16	4	D
30	4	12	17	11	6	A
31	0	13	42	6	4	C
32	0	13	37	12	3	D
33	0	13	19	39	2	D
34	1	14	3	18	5	C
35	4	14	8	51	5	B
36	1	14	50	26	5	D
37	3	14	35	51	3	C
38	4	15	26	34	5	D
39	2	15	9	39	2	D
40	2	16	46	32	2	C
41	2	17	32	5	6	D
42	3	17	8	47	4	D
43	4	18	1	16	3	C
44	1	18	22	33	3	A
45	4	19	42	37	5	D
46	4	19	18	41	4	B
47	0	19	18	29	4	A
48	0	20	14	27	6	C
49	3	21	17	33	7	A
50	4	21	12	13	7	C
51	3	21	1	15	7	C
52	3	21	43	12	4	B
53	4	21	31	17	7	A
54	2	22	45	19	5	D
55	1	23	23	46	3	D
56	4	24	44	29	4	D
57	3	24	22	41	5	B
58	2	24	25	38	5	B
59	4	24	30	39	7	D
60	2	25	16	51	7	D
61	1	25	42	41	5	B
62	1	26	7	6	6	B
63	3	27	42	22	6	D
64	3	27	1	23	3	D
65	2	27	8	48	6	C
66	0	27	46	7	2	A
67	2	28	39	43	6	B
68	3	29	10	34	7	A
69	1	30	5	6	4	A
70	3	31	7	30	6	C
71	3	32	16	8	5	D
72	4	32	35	46	4	C
73	3	33	49	15	5	A
74	3	34	22	36	5	B
75	4	34	42	51	4	D
76	1	35	3	37	7	D
77	4	35	5	8	7	B
78	2	36	1	7	6	A
79	2	37	30	42	3	C
80	2	37	23	24	4	D
81	0	37	22	47	3	C
82	1	38	46	42	4	D
83	4	38	28	16	5	A
84	0	39	47	41	4	D
85	3	39	9	15	7	C
86	4	39	9	5	4	D
87	1	40	28	26	7	D
88	3	40	19	23	6	A
89	2	40	4	13	3	B
90	1	40	40	51	6	B
91	1	41	33	47	2	C
92	1	42	5	7	4	D
93	0	43	47	51	2	C
94	4	44	12	20	4	C
95	0	44	38	35	4	C
96	0	44	41	46	4	A
97	1	45	23	35	7	D
98	1	46	23	32	4	C
99	0	47	15	22	5	A
100	2	48	11	45	6	C
-1
